City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirkwall,58.9848,-2.9587,50.05,81,75,19.57,GB,1684882096
1,tangalle,6.024,80.7911,77.4,88,4,7.27,LK,1684881897
2,mata-utu,-13.2816,-176.1745,81.37,78,86,4.32,WF,1684882069
3,port-aux-francais,-49.35,70.2167,46.17,98,100,29.42,TF,1684882101
4,blackmans bay,-43.0167,147.3167,56.07,71,60,5.57,AU,1684881855
5,mount gambier,-37.8333,140.7667,51.33,85,33,9.37,AU,1684882105
6,longyearbyen,78.2186,15.6401,35.44,80,75,29.93,SJ,1684882106
7,albany,42.6001,-73.9662,70.93,53,26,3.0,US,1684882108
8,molde,62.7375,7.1591,44.46,87,40,9.22,NO,1684882097
9,kingston,17.997,-76.7936,82.22,82,75,6.91,JM,1684881826
10,east london,-33.0153,27.9116,60.94,55,15,5.32,ZA,1684882111
11,chonchi,-42.6128,-73.8092,50.13,91,86,15.17,CL,1684882113
12,yafran,32.0633,12.5286,66.58,50,0,20.4,LY,1684882114
13,gadzhiyevo,69.2551,33.3362,44.08,91,49,10.63,RU,1684882115
14,peniche,39.3558,-9.3811,63.16,86,65,4.92,PT,1684882117
15,saipan,15.1355,145.701,77.65,100,100,19.57,MP,1684882118
16,bilibino,68.0546,166.4372,45.73,52,60,3.96,RU,1684882119
17,pyapon,16.2833,95.6833,80.13,84,86,8.84,MM,1684882120
18,tolanaro,-25.0319,46.9987,62.67,88,40,4.61,MG,1684881892
19,daru,-9.0763,143.2092,79.66,79,73,16.84,PG,1684882123
20,vilyuchinsk,52.9306,158.4028,44.26,90,86,4.81,RU,1684882124
21,ribeira grande,38.5167,-28.7,63.77,82,13,11.01,PT,1684882125
22,vernon,50.2581,-119.2691,59.2,69,100,3.0,CA,1684882126
23,richards bay,-28.783,32.0377,62.62,88,64,6.78,ZA,1684882128
24,anna regina,7.2644,-58.5077,79.5,85,59,7.36,GY,1684882129
25,grytviken,-54.2811,-36.5092,35.42,82,31,10.67,GS,1684882132
26,atafu village,-8.5421,-172.5159,82.85,74,97,7.65,TK,1684882133
27,anzio,41.4853,12.6179,63.39,82,75,3.98,IT,1684882134
28,adamstown,-25.066,-130.1015,76.64,87,75,30.15,PN,1684882135
29,ushuaia,-54.8,-68.3,42.46,93,100,3.44,AR,1684881853
30,waitangi,-43.9535,-176.5597,55.81,96,2,1.99,NZ,1684882138
31,severo-yeniseyskiy,60.3725,93.0408,31.01,83,99,12.93,RU,1684882139
32,happy valley-goose bay,53.3168,-60.3315,61.11,29,75,18.41,CA,1684882140
33,uribia,11.7139,-72.266,84.96,67,24,14.88,CO,1684882142
34,isafjordur,66.0755,-23.124,36.99,97,100,33.06,IS,1684882143
35,pontian kechil,1.4866,103.3896,80.01,91,9,3.62,MY,1684882144
36,la'ie,21.6477,-157.9253,81.28,69,39,7.0,US,1684881863
37,tiksi,71.6872,128.8694,22.35,84,25,3.09,RU,1684882147
38,college,64.8569,-147.8028,64.72,32,20,5.75,US,1684881856
39,puerto natales,-51.7236,-72.4875,31.68,95,85,3.09,CL,1684881854
40,teluknaga,-6.0989,106.6381,78.89,100,20,3.44,ID,1684882150
41,benghazi,32.1167,20.0667,67.14,76,100,12.21,LY,1684882152
42,iqaluit,63.7506,-68.5145,20.7,73,75,20.71,CA,1684882153
43,lebu,-37.6167,-73.65,53.67,75,33,17.87,CL,1684882097
44,edinburgh of the seven seas,-37.0676,-12.3116,56.48,67,71,26.6,SH,1684882156
45,berezovo,63.9381,65.0419,57.29,76,99,7.45,RU,1684882157
46,igarka,67.4667,86.5833,31.41,84,79,16.46,RU,1684882158
47,hermanus,-34.4187,19.2345,52.81,75,71,3.18,ZA,1684882160
48,kapa'a,22.0752,-159.319,79.23,77,100,11.5,US,1684882161
49,la passe,45.5549,-0.8967,61.02,78,15,17.74,FR,1684881879
50,papatowai,-46.5619,169.4708,48.99,71,88,9.26,NZ,1684882163
51,broken hill,-31.95,141.4333,54.99,42,4,8.25,AU,1684882165
52,hithadhoo,-0.6,73.0833,82.24,73,11,5.88,MV,1684882166
53,'ain el bell,34.3438,3.2247,58.37,64,1,16.46,DZ,1684882167
54,stanley,54.868,-1.6985,50.74,80,99,8.39,GB,1684882169
55,atoyac de alvarez,17.2,-100.4333,89.67,57,63,7.58,MX,1684882170
56,bargaal,11.2864,51.0773,82.26,79,86,9.6,SO,1684882171
57,qamdo,31.1667,97.2333,33.3,39,17,1.97,CN,1684882173
58,coahuayana de hidalgo,18.7,-103.6583,88.29,54,60,6.93,MX,1684882174
59,nema,57.5067,50.5011,58.32,68,86,4.5,RU,1684882175
60,pacific grove,36.6177,-121.9166,58.69,77,20,13.8,US,1684882176
61,bredasdorp,-34.5322,20.0403,53.42,91,88,3.44,ZA,1684882177
62,la ronge,55.1001,-105.2842,52.05,40,75,11.5,CA,1684882179
63,yellowknife,62.456,-114.3525,61.32,31,75,16.11,CA,1684882081
64,puerto ayora,-0.7393,-90.3518,80.55,89,90,1.99,EC,1684882181
65,utrik,11.2278,169.8474,82.27,77,71,16.02,MH,1684882182
66,talakan,50.3167,130.3667,62.74,50,96,8.97,RU,1684882184
67,kokstad,-30.5472,29.4241,45.45,58,18,4.83,ZA,1684882185
68,new norfolk,-42.7826,147.0587,52.81,69,89,1.01,AU,1684881915
69,wailua homesteads,22.0669,-159.378,77.92,77,100,11.5,US,1684882187
70,qaqortoq,60.7167,-46.0333,32.22,76,17,10.87,GL,1684882188
